"Variable","Importance"
"RNF114",0.00201985773562537
"OR52A4",0.00183091286307054
"ARL6",0.00182424422050978
"OR4C3",0.0016982809721399
"HIGD1A",0.00169754001185537
"MIR1284",0.00169013040901008
"RNU4ATAC7P",0.00159380557202134
"MIR4274",0.00159306461173681
"MAL",0.00158195020746888
"PRUNE2",0.00157676348547718
"RN7SL338P",0.00157676348547718
"RCAN3",0.00149155305275637
"RNA5SP135",0.00148784825133373
"VAMP1",0.0014174570243035
"LIN54",0.00141152934202727
"E2F1",0.00140708358032009
"ZNF215",0.00138114997036159
"MUC5B",0.00136410788381743
"SLC47A2",0.00133521043272081
"TMEM128",0.00131149970361588
